Dataset,Line,Example,Template,ClusterId,Tokens,nltk,stanza,spacy,hanta,treetagger,TagComparison,Majority
Spark,28245885,MemoryStore cleared,MemoryStore cleared,63,"['MemoryStore', 'cleared']","['ADV', 'VERB']","['PROPN', 'VERB']","['NOUN', 'VERB']","['PROPN', 'VERB']","['PROPN', 'VERB']","TagComparison(majority=['PROPN', 'VERB'], confidence=[0.6, 1.0], minority=[{'nltk': 'ADV', 'spacy': 'NOUN'}, {}])","['PROPN', 'VERB']"
Spark,27033892,Starting remoting,Starting remoting,72,"['Starting', 'remoting']","['VERB', 'VERB']","['VERB', 'NOUN']","['VERB', 'NOUN']","['VERB', 'NOUN']","['VERB', 'NOUN']","TagComparison(majority=['VERB', 'NOUN'], confidence=[1.0, 0.8], minority=[{}, {'nltk': 'VERB'}])","['VERB', 'NOUN']"
Android,40961,[HME_JPEG_DEC_Delete](3298): HME_JPEG_DEC_Delete: decoder_ctx=null,<*> HME_JPEG_DEC_Delete: decoder_ctx=null,162,"['(', 'HME_JPEG_DEC_Delete', ')', '(', '3298', ')', '.', 'HME_JPEG_DEC_Delete', '.', 'decoder_ctx=null']","['PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN']","['PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN']","['PUNCT', 'INTJ', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ']","['PUNCT', 'ADJ', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'ADJ', 'PUNCT', 'NOUN']","['PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN']","TagComparison(majority=['PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN'], confidence=[1.0, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 0.6], minority=[{}, {'spacy': 'INTJ', 'hanta': 'ADJ'}, {}, {}, {}, {}, {}, {'spacy': 'ADJ', 'hanta': 'ADJ'}, {}, {'stanza': 'PROPN', 'spacy': 'ADJ'}])","['PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN']"
Android,92614,keyAppBroadcastQueueForIntent intent Intent { act=ALARM_ACTION(4492) flg=0x14 (has extras) } on bgkeyapp queue,keyAppBroadcastQueueForIntent intent Intent { <*> (has extras) } on bgkeyapp queue,350,"['keyAppBroadcastQueueForIntent', 'intent', 'Intent', '(', 'act=ALARM_ACTION', '(', '4492', ')', 'flg=0x14', '(', 'has', 'extras', ')', ')', 'on', 'bgkeyapp', 'queue']","['ADJ', 'NOUN', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'VERB', 'PUNCT', 'PUNCT', 'ADP', 'NOUN', 'NOUN']","['PROPN', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'PUNCT', 'PUNCT', 'ADP', 'PROPN', 'NOUN']","['ADJ', 'NOUN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'VERB', 'NOUN', 'PUNCT', 'PUNCT', 'ADP', 'NOUN', 'NOUN']","['ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'AUX', 'NOUN', 'PUNCT', 'PUNCT', 'ADP', 'NOUN', 'VERB']","['ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'AUX', 'NOUN', 'PUNCT', 'PUNCT', 'ADP', 'PROPN', 'NOUN']","TagComparison(majority=['ADJ', 'NOUN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'AUX', 'NOUN', 'PUNCT', 'PUNCT', 'ADP', 'PROPN', 'NOUN'], confidence=[0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 0.8], minority=[{'stanza': 'PROPN'}, {}, {}, {}, {}, {}, {}, {}, {'spacy': 'PUNCT'}, {}, {}, {'nltk': 'VERB'}, {}, {}, {}, {}, {'hanta': 'VERB'}])","['ADJ', 'NOUN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'AUX', 'NOUN', 'PUNCT', 'PUNCT', 'ADP', 'PROPN', 'NOUN']"
Mac,5075,10:46:47.980 : Starting AirDrop server for user 501 on wake,<*> : Starting AirDrop server for user <*> on wake,122,"['10:46:47.980', '.', 'Starting', 'AirDrop', 'server', 'for', 'user', '501', 'on', 'wake']","['NUM', 'PUNCT', 'VERB', 'PROPN', 'NOUN', 'ADP', 'ADJ', 'NUM', 'ADP', 'NOUN']","['NUM', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NUM', 'ADP', 'NOUN']","['NUM', 'PUNCT', 'VERB', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'NUM', 'ADP', 'NOUN']","['NUM', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NUM', 'ADP', 'NOUN']","['X', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NUM', 'ADP', 'NOUN']","TagComparison(majority=['NUM', 'PUNCT', 'VERB', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'NUM', 'ADP', 'NOUN'], confidence=[1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0], minority=[{}, {}, {'stanza': 'NOUN'}, {}, {}, {}, {'nltk': 'ADJ'}, {}, {}, {}])","['NUM', 'PUNCT', 'VERB', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'NUM', 'ADP', 'NOUN']"
Hadoop,13560,yarn.client.max-cached-nodemanagers-proxies : 0,yarn.client.max-cached-nodemanagers-proxies : <*>,71,"['yarn.client.max-cached-nodemanagers-proxies', '.', '0']","['NOUN', 'PUNCT', 'NUM']","['PROPN', 'PUNCT', 'NUM']","['NOUN', 'PUNCT', 'NUM']","['NOUN', 'PUNCT', 'NUM']","['NOUN', 'PUNCT', 'NUM']","TagComparison(majority=['PROPN', 'PUNCT', 'NUM'], confidence=[1.0, 1.0, 1.0], minority=[{}, {}, {}])","['PROPN', 'PUNCT', 'NUM']"
Linux,731,connection from 222.33.90.199 () at Sun Jun 12 00:07:45 2005,connection from <*> () at Sun Jun <*>,152,"['connection', 'from', '222.33.90.199', '(', ')', 'at', 'Sun', 'Jun', '12', '00:07:45', '2005']","['NOUN', 'ADP', 'NUM', 'PUNCT', 'PUNCT', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NUM']","['NOUN', 'ADP', 'NUM', 'PUNCT', 'PUNCT', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NUM']","['NOUN', 'ADP', 'NUM', 'PUNCT', 'PUNCT', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NUM']","['NOUN', 'ADP', 'NUM', 'PUNCT', 'PUNCT', 'ADP', 'NOUN', 'PROPN', 'NUM', 'NUM', 'NUM']","['NOUN', 'ADP', 'NUM', 'PUNCT', 'PUNCT', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NUM']","TagComparison(majority=['NOUN', 'ADP', 'NUM', 'PUNCT', 'PUNCT', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NUM'], confidence=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}])","['NOUN', 'ADP', 'NUM', 'PUNCT', 'PUNCT', 'ADP', 'PROPN', 'PROPN', 'NUM', 'NUM', 'NUM']"
OpenSSH,569,Failed password for root from 187.141.143.180 port 47004 ssh2,Failed password for root from <*> port <*>,5,"['Failed', 'password', 'for', 'root', 'from', '187.141.143.180', 'port', '47004', 'ssh2']","['VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","['VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","['VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'PROPN']","['VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NUM', 'NUM']","['VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","TagComparison(majority=['VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN'], confidence=[1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 0.6], minority=[{}, {}, {}, {}, {}, {'hanta': 'NOUN'}, {}, {}, {'spacy': 'PROPN', 'hanta': 'NUM'}])","['VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']"
Android,47287,Clock getDataFormat the getSystemString failed.,Clock getDataFormat the getSystemString failed.,187,"['Clock', 'getDataFormat', 'the', 'getSystemString', 'failed', '.']","['PROPN', 'VERB', 'DET', 'NOUN', 'VERB', 'PUNCT']","['NOUN', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT']","['NOUN', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT']","['NOUN', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT']","['NOUN', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT']","TagComparison(majority=['PROPN', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT'], confidence=[1.0, 0.8, 1.0, 1.0, 1.0, 1.0], minority=[{}, {'nltk': 'VERB'}, {}, {}, {}, {}])","['PROPN', 'NOUN', 'DET', 'NOUN', 'VERB', 'PUNCT']"
OpenSSH,716,input_userauth_request: invalid user butter [preauth],input_userauth_request: invalid user butter [preauth],8,"['input_userauth_request', '.', 'invalid', 'user', 'butter', '(', 'preauth', ')']","['NOUN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['PROPN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['X', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['ADJ', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['NOUN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","TagComparison(majority=['NOUN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT'], confidence=[0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{'stanza': 'PROPN', 'hanta': 'ADJ'}, {}, {}, {}, {}, {}, {}, {}])","['NOUN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']"
Android,364171,getAntPosition antWorkState is -1,getAntPosition antWorkState is <*>,861,"['getAntPosition', 'antWorkState', 'is', '-1']","['NOUN', 'NOUN', 'VERB', 'ADJ']","['PROPN', 'PROPN', 'AUX', 'NUM']","['NOUN', 'NOUN', 'AUX', 'PUNCT']","['NOUN', 'NOUN', 'AUX', 'NUM']","['NOUN', 'NOUN', 'VERB', 'NUM']","TagComparison(majority=['PROPN', 'PROPN', 'AUX', 'NUM'], confidence=[1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {}])","['PROPN', 'PROPN', 'AUX', 'NUM']"
Hadoop,13560,yarn.client.max-cached-nodemanagers-proxies : 0,yarn.client.max-cached-nodemanagers-proxies : <*>,71,"['yarn.client.max-cached-nodemanagers-proxies', '.', '0']","['NOUN', 'PUNCT', 'NUM']","['PROPN', 'PUNCT', 'NUM']","['NOUN', 'PUNCT', 'NUM']","['NOUN', 'PUNCT', 'NUM']","['NOUN', 'PUNCT', 'NUM']","TagComparison(majority=['PROPN', 'PUNCT', 'NUM'], confidence=[1.0, 1.0, 1.0], minority=[{}, {}, {}])","['PROPN', 'PUNCT', 'NUM']"
