Dataset,Line,Example,Template,ClusterId
Hadoop,603,task_1445087491445_0005_m_000011 Task Transitioned from NEW to SCHEDULED,<*> Task Transitioned from NEW to SCHEDULED,8
Hadoop,629,Got allocated containers 4,Got allocated containers <*>,9
Hadoop,671,TaskAttempt: [attempt_1445087491445_0005_m_000001_0] using containerId: [container_1445087491445_0005_01_000003 on NM: [MSRA-SA-41.fareast.corp.microsoft.com:30535],TaskAttempt: <*> using containerId: <*> on NM: <*>,10
Hadoop,714,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,11
Hadoop,766,"Recalculating schedule, headroom=<memory:6144, vCores:-14>","Recalculating schedule, <*>",12
Hadoop,828,Progress of TaskAttempt attempt_1445087491445_0005_m_000004_0 is : 0.07092748,Progress of TaskAttempt <*> is : <*>,13
Hadoop,1130,Launching attempt_1445087491445_0005_m_000007_0,Launching <*>,14
Hadoop,1151,attempt_1445087491445_0005_m_000008_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,15
Hadoop,1296,Opening proxy : MSRA-SA-41.fareast.corp.microsoft.com:30535,Opening proxy : <*>,16
Hadoop,1402,Received completed container container_1445087491445_0005_01_000008,Received completed container <*>,17
Hadoop,1435,Auth successful for job_1445087491445_0005 (auth:SIMPLE),Auth successful for <*> (auth:SIMPLE),18
Hadoop,1852,MapCompletionEvents request from attempt_1445087491445_0005_r_000000_0. startIndex 7 maxEvents 10000,MapCompletionEvents request from <*> startIndex <*> maxEvents <*>,19
Hadoop,2154,JVM with ID: jvm_1445087491445_0005_r_000022 given task: attempt_1445087491445_0005_r_000000_1,JVM with ID: <*> given task: <*>,20
Hadoop,2162,Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445087491445_0005_01_000024 taskAttempt attempt_1445087491445_0005_m_000011_3,Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container <*> taskAttempt <*>,21
Hadoop,2251,attempt_1445087491445_0005_m_000009_2 TaskAttempt Transitioned from UNASSIGNED to KILLED,<*> TaskAttempt Transitioned from UNASSIGNED to KILLED,22
Hadoop,2269,attempt_1445087491445_0005_m_000008_2 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,23
Hadoop,2438,attempt_1445087491445_0005_m_000008_2 TaskAttempt Transitioned from KILL_CONTAINER_CLEANUP to KILL_TASK_CLEANUP,<*> TaskAttempt Transitioned from KILL_CONTAINER_CLEANUP to KILL_TASK_CLEANUP,24
Hadoop,2637,Done acknowledgement from attempt_1445087491445_0005_m_000012_1,Done acknowledgement from <*>,25
Hadoop,3014,Calling stop for all the services,Calling stop for all the services,26
Hadoop,3043,loaded properties from hadoop-metrics2.properties,loaded properties from <*>,27
Hadoop,3092,(RESET) equator 44660022 kv 11165000(44660000) kvi 8543572(34174288),(RESET) equator <*> kv <*> kvi <*>,28
Hadoop,3214,"Kind: mapreduce.job, Service: job_1445087491445_0005, Ident: (org.apache.hadoop.mapreduce.security.token.JobTokenIdentifier@47be594d)","Kind: mapreduce.job, Service: <*> Ident: <*>",29
Hadoop,3346,mapreduce.task.io.sort.mb: 100,mapreduce.task.io.sort.mb: <*>,30
Hadoop,3472,Starting flush of map output,Starting flush of map output,31
Hadoop,3548,Executing with tokens:,Executing with tokens:,32
Hadoop,3729,Task:attempt_1445087491445_0005_m_000007_1 is done. And is in the process of committing,<*> is done. And is in the process of committing,33
Hadoop,3895,Ignoring obsolete output of KILLED map-task: 'attempt_1445087491445_0005_m_000011_1',Ignoring obsolete output of KILLED map-task: <*>,34
Hadoop,4030,MRAppMaster metrics system started,MRAppMaster metrics system started,35
Hadoop,4052,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\2\Jetty_0_0_0_0_19907_mapreduce____lryhnl\webapp,Extract <*> to <*>,36
Hadoop,4101,task_1445062781478_0018_m_000002 Task Transitioned from NEW to SUCCEEDED,<*> Task Transitioned from NEW to SUCCEEDED,37
Hadoop,4245,DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_1445062781478_0018_m_000007,DefaultSpeculator.addSpeculativeAttempt -- we are speculating <*>,38
Hadoop,4256,Assigned container container_1445062781478_0018_02_000004 to attempt_1445062781478_0018_m_000007_1001,Assigned container <*> to <*>,39
Hadoop,4681,History url is http://MSRA-SA-41.fareast.corp.microsoft.com:19888/jobhistory/job/job_1445062781478_0018,History url is <*>,40
Hadoop,4954,Task 'attempt_1445062781478_0018_m_000007_1000' done.,Task <*> done.,41
Hadoop,5030,Scheduled snapshot period at 10 second(s).,Scheduled snapshot period at <*> second(s).,42
Hadoop,5322,MapTask metrics system started,MapTask metrics system started,43
Hadoop,5385,"Down to the last merge-pass, with 8 segments left of total size: 288364572 bytes","Down to the last merge-pass, with <*> segments left of total size: <*> bytes",44
Hadoop,5615,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,Registering class <*> for class <*>,45
Hadoop,5653,Registered webapp guice modules,Registered webapp guice modules,46
Hadoop,6213,After Scheduling: PendingReds:1 ScheduledMaps:0 ScheduledReds:0 AssignedMaps:9 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:12 ContRel:2 HostLocal:2 RackLocal:8,After Scheduling: <*>,47
Hadoop,6219,attempt_1445062781478_0018_m_000000_0 TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED,<*> TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED,48
Hadoop,7380,attempt_1445062781478_0018_m_000008_0 TaskAttempt Transitioned from RUNNING to KILL_CONTAINER_CLEANUP,<*> TaskAttempt Transitioned from RUNNING to KILL_CONTAINER_CLEANUP,49
Hadoop,7737,ReduceTask metrics system started,ReduceTask metrics system started,50
Hadoop,7791,Read 60513769 bytes from map-output for attempt_1445062781478_0018_m_000004_1,Read <*> bytes from map-output for <*>,51
Hadoop,7899,Retrying connect to server: minint-75dgdam1.fareast.corp.microsoft.com/10.86.165.66:53419. Already tried 25 time(s); maxRetries=45,Retrying connect to server: <*> Already tried <*> time(s); <*>,52
Hadoop,8056,Sleeping for 0ms before retrying again. Got null now.,Sleeping for <*> before retrying again. Got null now.,53
Hadoop,8209,Map output collector class = org.apache.hadoop.mapred.MapTask$MapOutputBuffer,Map output collector class = org.apache.hadoop.mapred.MapTask$MapOutputBuffer,54
Hadoop,8273,kvstart = 26214396; length = 6553600,kvstart = <*> length = <*>,55
Hadoop,8503,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 2 cluster_timestamp: 1445087491445 } attemptId: 1 } keyId: -1547346236)","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>",56
Hadoop,8515,Default file system [hdfs://msra-sa-41:9000],Default file system <*>,57
Hadoop,8536,Http request log for http.requests.mapreduce is not defined,Http request log for http.requests.mapreduce is not defined,58
Hadoop,8607,attempt_1445087491445_0002_m_000002_0 TaskAttempt Transitioned from NEW to UNASSIGNED,<*> TaskAttempt Transitioned from NEW to UNASSIGNED,59
Hadoop,8683,task_1445087491445_0002_m_000007 Task Transitioned from SCHEDULED to RUNNING,<*> Task Transitioned from SCHEDULED to RUNNING,60
Hadoop,9640,Processing the event EventType: CONTAINER_REMOTE_CLEANUP for container container_1445087491445_0002_01_000007 taskAttempt attempt_1445087491445_0002_m_000000_0,Processing the event EventType: CONTAINER_REMOTE_CLEANUP for container <*> taskAttempt <*>,61
Hadoop,10168,attempt_1445087491445_0002_m_000007_1 TaskAttempt Transitioned from RUNNING to SUCCESS_CONTAINER_CLEANUP,<*> TaskAttempt Transitioned from RUNNING to SUCCESS_CONTAINER_CLEANUP,62
Hadoop,10399,Num completed Tasks: 12,Num completed Tasks: <*>,63
Hadoop,11658,Failed to renew lease for [DFSClient_NONMAPREDUCE_483047941_1] for 63 seconds.  Will retry shortly ...,Failed to renew lease for <*> for <*> seconds. Will retry shortly ...,64
Hadoop,11768,Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: <*> New: <*>,65
Hadoop,12406,for url=13562/mapOutput?job=job_1445087491445_0002&reduce=0&map=attempt_1445087491445_0002_m_000010_0 sent hash and received reply,for <*> sent hash and received reply,66
Hadoop,12425,attempt_1445087491445_0002_m_000004_0: Shuffling to disk since 216992138 is greater than maxSingleShuffleLimit (32663142),<*> Shuffling to disk since <*> is greater than maxSingleShuffleLimit <*>,67
Hadoop,12453,Assigning MSRA-SA-41.fareast.corp.microsoft.com:13562 with 1 to fetcher#5,Assigning <*> with <*> to <*>,68
Hadoop,13298,EventFetcher is interrupted.. Returning,EventFetcher is interrupted.. Returning,69
Hadoop,13516,Read from history task task_1445087491445_0002_m_000001,Read from history task <*>,70
Hadoop,13560,yarn.client.max-cached-nodemanagers-proxies : 0,yarn.client.max-cached-nodemanagers-proxies : <*>,71
Hadoop,13586,attempt_1445087491445_0002_m_000002_0 TaskAttempt Transitioned from NEW to SUCCEEDED,<*> TaskAttempt Transitioned from NEW to SUCCEEDED,72
Hadoop,14312,job_1445062781478_0020Job Transitioned from SETUP to RUNNING,<*> Transitioned from SETUP to RUNNING,73
Hadoop,15238,attempt_1445062781478_0020_m_000001_1 TaskAttempt Transitioned from KILL_TASK_CLEANUP to KILLED,<*> TaskAttempt Transitioned from KILL_TASK_CLEANUP to KILLED,74
Hadoop,15583,Task succeeded with attempt attempt_1445062781478_0020_r_000000_0,Task succeeded with attempt <*>,75
Hadoop,15622,TaskHeartbeatHandler thread interrupted,TaskHeartbeatHandler thread interrupted,76
Hadoop,15878,Merging 8 sorted segments,Merging <*> sorted segments,77
Hadoop,16073,Processing split: hdfs://msra-sa-41:9000/pageinput2.txt:1207959552+48562176,Processing split: <*>,78
Hadoop,17847,KILLING attempt_1445062781478_0016_m_000000_0,KILLING <*>,79
Hadoop,18207,mapreduce.cluster.local.dir for child: /tmp/hadoop-msrabi/nm-local-dir/usercache/msrabi/appcache/application_1445062781478_0016,mapreduce.cluster.local.dir for child: <*>,80
Hadoop,18277,ProcfsBasedProcessTree currently is supported only on Linux.,ProcfsBasedProcessTree currently is supported only on Linux.,81
Hadoop,18786,bufstart = 0; bufvoid = 104857600,bufstart = <*> bufvoid = <*>,82
Hadoop,19390,IPC Server listener on 47468: starting,IPC Server listener on <*> starting,83
Hadoop,19400,Processing the event EventType: JOB_SETUP,Processing the event EventType: JOB_SETUP,84
Hadoop,19555,Shuffle port returned by ContainerManager for attempt_1445062781478_0011_m_000004_0 : 13562,Shuffle port returned by ContainerManager for <*> : <*>,85
Hadoop,19589,JVM with ID : jvm_1445062781478_0011_m_000004 asked for a task,JVM with ID : <*> asked for a task,86
Hadoop,20841,Recovery is enabled. Will try to recover from previous life on best effort basis.,Recovery is enabled. Will try to recover from previous life on best effort basis.,87
Hadoop,20880,nodeBlacklistingEnabled:true,nodeBlacklistingEnabled:true,88
Hadoop,20940,"reduceResourceRequest:<memory:1024, vCores:1>",<*>,89
Hadoop,21092,"completedMapPercent 0.1 totalResourceLimit:<memory:7168, vCores:-13> finalMapResourceLimit:<memory:6452, vCores:-12> finalReduceResourceLimit:<memory:716, vCores:-1> netScheduledMapResource:<memory:9216, vCores:9> netScheduledReduceResource:<memory:0, vCores:0>",completedMapPercent <*>,90
Hadoop,21304,Before Scheduling: PendingReds:0 ScheduledMaps:1 ScheduledReds:0 AssignedMaps:11 AssignedReds:1 CompletedMaps:1 CompletedReds:0 ContAlloc:12 ContRel:0 HostLocal:6 RackLocal:5,Before Scheduling: <*>,91
Hadoop,21505,ATTEMPT_START task_1445144423722_0020_m_000006,ATTEMPT_START <*>,92
Hadoop,22385,Issuing kill to other attempt attempt_1445144423722_0020_m_000006_1000,Issuing kill to other attempt <*>,93
Hadoop,22824,Notify RMCommunicator isAMLastRetry: true,Notify RMCommunicator isAMLastRetry: true,94
Hadoop,23655,assigned 1 of 1 to 04DN8IQ.fareast.corp.microsoft.com:13562 to fetcher#3,assigned <*> of <*> to <*> to <*>,95
Hadoop,24702,soft limit at 83886080,soft limit at <*>,96
Hadoop,25013,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,Logging to <*> via <*>,97
Hadoop,25034,Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030,Connecting to ResourceManager at <*>,98
Hadoop,25520,"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=1 finishedContainers=0 resourcelimit=<memory:0, vCores:-27> knownNMs=4",getResources() for <*> release= <*>,99
Hadoop,28489,Task: attempt_1445144423722_0020_m_000002_0 - exited : java.net.NoRouteToHostException: No Route to Host from  MININT-FNANLI5/127.0.0.1 to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost,Task: <*> - exited : java.net.NoRouteToHostException: No Route to Host from <*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost,100
Hadoop,28737,Processing the event EventType: TASK_ABORT,Processing the event EventType: TASK_ABORT,101
Hadoop,28937,ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,102
Hadoop,34959,"Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)",Retrying connect to server: <*> Already tried <*> time(s); retry policy is <*> MILLISECONDS),103
Hadoop,44249,Diagnostics report from attempt_1445144423722_0020_m_000008_0: cleanup failed for container container_1445144423722_0020_01_000010 : java.lang.IllegalArgumentException: java.net.UnknownHostException: MSRA-SA-39.fareast.corp.microsoft.com,Diagnostics report from <*> cleanup failed for container <*> : java.lang.IllegalArgumentException: java.net.UnknownHostException: <*>,104
Hadoop,84049,I/O error constructing remote block reader.,I/O error constructing remote block reader.,105
Hadoop,84539,fetcher#5 about to shuffle output of map attempt_1445175094696_0005_m_000007_0 decomp: 216976206 len: 216976210 to DISK,<*> about to shuffle output of map <*> decomp: <*> len: <*> to DISK,106
Hadoop,86179,Stopping IPC Server listener on 4236,Stopping IPC Server listener on <*>,107
Hadoop,86790,Adding #0 tokens and #1 secret keys for NM use for launching container,Adding <*> tokens and <*> secret keys for NM use for launching container,108
Hadoop,89095,MSRA-SA-41.fareast.corp.microsoft.com:13562 freed by fetcher#5 in 1529ms,<*> freed by <*> in <*>,109
Hadoop,89121,Task attempt_1445175094696_0002_r_000000_0 is allowed to commit now,Task <*> is allowed to commit now,110
Hadoop,90058,blacklistDisablePercent is 33,blacklistDisablePercent is <*>,111
Hadoop,90111,"Event Writer setup for JobId: job_1445062781478_0017, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445062781478_0017/job_1445062781478_0017_1.jhist",Event Writer setup for JobId: <*> File: <*>,112
Hadoop,91118,Scheduling a redundant attempt for task task_1445062781478_0017_m_000007,Scheduling a redundant attempt for task <*>,113
Hadoop,98754,Starting Socket Reader #1 for port 30954,Starting Socket Reader <*> for port <*>,114
Hadoop,102523,Using callQueue class java.util.concurrent.LinkedBlockingQueue,Using callQueue class java.util.concurrent.LinkedBlockingQueue,115
Hadoop,102719,Reduce slow start threshold reached. Scheduling reduces.,Reduce slow start threshold reached. Scheduling reduces.,116
Hadoop,103865,task_1445087491445_0004_r_000000 Task Transitioned from RUNNING to SUCCEEDED,<*> Task Transitioned from RUNNING to SUCCEEDED,117
Hadoop,103981,Using ShuffleConsumerPlugin: org.apache.hadoop.mapreduce.task.reduce.Shuffle@5b904247,Using ShuffleConsumerPlugin: <*>,118
Hadoop,105197,Killing taskAttempt:attempt_1445087491445_0004_m_000007_0 because it is running on unusable node:MININT-75DGDAM1.fareast.corp.microsoft.com:57365,Killing <*> because it is running on unusable <*>,119
Hadoop,105901,Diagnostics report from attempt_1445087491445_0004_m_000009_0: Container killed by the ApplicationMaster.,Diagnostics report from <*> Container killed by the ApplicationMaster.,120
Hadoop,107089,"Merging 0 segments, 0 bytes from memory into reduce","Merging <*> segments, <*> bytes from memory into reduce",121
Hadoop,107712,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,122
Hadoop,110615,Stopping MapTask metrics system...,Stopping MapTask metrics system...,123
Hadoop,111204,We launched 1 speculations.  Sleeping 15000 milliseconds.,We launched <*> speculations. Sleeping <*> milliseconds.,124
Hadoop,209838,adding path spec: /ws/*,adding path spec: /ws/*,125
Hadoop,210086,attempt_1445175094696_0003_m_000009_0 TaskAttempt Transitioned from SUCCEEDED to KILLED,<*> TaskAttempt Transitioned from SUCCEEDED to KILLED,126
Hadoop,210260,attempt_1445175094696_0003_r_000000_1000 given a go for committing the task output.,<*> given a go for committing the task output.,127
Hadoop,213388,Copying hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0021/job_1445144423722_0021_1_conf.xml to hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging,Copying <*> to <*>,128
Hadoop,213716,ReduceTask metrics system shutdown complete.,ReduceTask metrics system shutdown complete.,129
Hadoop,214218,Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled,130
Hadoop,214248,JOB_CREATE job_1445182159119_0005,JOB_CREATE <*>,131
Hadoop,216650,MapTask metrics system shutdown complete.,MapTask metrics system shutdown complete.,132
Hadoop,216688,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,133
Hadoop,218090,Could not delete hdfs://msra-sa-41:9000/out/out2/_temporary/1/_temporary/attempt_1445182159119_0002_m_000005_0,Could not delete <*>,134
Hadoop,219448,job_1445182159119_0002Job Transitioned from COMMITTING to SUCCEEDED,<*> Transitioned from COMMITTING to SUCCEEDED,135
Hadoop,219483,Stopping IPC Server Responder,Stopping IPC Server Responder,136
Hadoop,222183,finalMerge called with 0 in-memory map-outputs and 10 on-disk map-outputs,finalMerge called with <*> in-memory map-outputs and <*> on-disk map-outputs,137
Hadoop,222363,"MRAppMaster launching normal, non-uberized, multi-container job job_1445182159119_0003.","MRAppMaster launching normal, non-uberized, multi-container job <*>",138
Hadoop,222460,The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445182159119_0003/job.xml,The job-conf file on the remote FS is <*>,139
Hadoop,227493,attempt_1445182159119_0004_m_000000_0 TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP,<*> TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP,140
Hadoop,227526,"Assigning container Container: [ContainerId: container_1445182159119_0004_01_000013, NodeId: MSRA-SA-41.fareast.corp.microsoft.com:10769, NodeHttpAddress: MSRA-SA-41.fareast.corp.microsoft.com:8042, Resource: <memory:1024, vCores:1>, Priority: 5, Token: Token { kind: ContainerToken, service: 10.190.173.170:10769 }, ] to fast fail map","Assigning container Container: [ContainerId: <*> NodeId: <*> NodeHttpAddress: <*> Resource: <*> Priority: <*> Token: Token { kind: ContainerToken, service: <*> }, ] to fast fail map",141
Hadoop,227646,Assigned from earlierFailedMaps,Assigned from earlierFailedMaps,142
Hadoop,230142,Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:56179,Started <*>,143
Hadoop,233967,Moved tmp to done: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging,Moved tmp to done: <*>,144
Hadoop,234440,attempt_1445182159119_0011_r_000000_0: Got 1 new map-outputs,<*> Got <*> new map-outputs,145
Hadoop,237421,Container complete event for unknown container id container_1445182159119_0016_01_000013,Container complete event for unknown container id <*>,146
Hadoop,244684,Notify JHEH isAMLastRetry: true,Notify JHEH isAMLastRetry: true,147
Hadoop,244997,"Failed to connect to /10.86.165.66:50010 for block, add to deadNodes and continue. java.net.ConnectException: Connection timed out: no further information","Failed to connect to <*> for block, add to deadNodes and continue. java.net.ConnectException: Connection timed out: no further information",148
Hadoop,245767,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,Adding protocol <*> to the server,149
Hadoop,246320,MapTask metrics system stopped.,MapTask metrics system stopped.,150
Hadoop,248960,Stopping server on 64927,Stopping server on <*>,151
Hadoop,257659,OutputCommitter set in config null,OutputCommitter set in config null,152
Hadoop,259768,Stopping ReduceTask metrics system...,Stopping ReduceTask metrics system...,153
Hadoop,263097,Web app /mapreduce started at 57855,Web app /mapreduce started at <*>,154
Hadoop,263214,Ramping down all scheduled reduces:0,Ramping down all scheduled <*>,155
Hadoop,263403,Going to preempt 1 due to lack of space for maps,Going to preempt <*> due to lack of space for maps,156
Hadoop,265229,Commit go/no-go request from attempt_1445144423722_0024_r_000000_0,Commit go/no-go request from <*>,157
Hadoop,267674,Socket Reader #1 for port 30358: readAndProcess from client 10.86.164.15 threw exception [java.io.IOException: An existing connection was forcibly closed by the remote host],Socket Reader <*> for port <*> readAndProcess from client <*> threw exception [java.io.IOException: An existing connection was forcibly closed by the remote host],158
Hadoop,268128,Stopped JobHistoryEventHandler. super.stop(),Stopped JobHistoryEventHandler. super.stop(),159
Hadoop,268132,Final Stats: PendingReds:0 ScheduledMaps:0 ScheduledReds:0 AssignedMaps:0 AssignedReds:1 CompletedMaps:10 CompletedReds:1 ContAlloc:16 ContRel:0 HostLocal:10 RackLocal:5,Final Stats: <*>,160
Hadoop,287957,Service JobHistoryEventHandler failed in state STOPPED; cause: org.apache.hadoop.yarn.exceptions.YarnRuntimeException: java.nio.channels.ClosedChannelException,Service JobHistoryEventHandler failed in state STOPPED; cause: org.apache.hadoop.yarn.exceptions.YarnRuntimeException: java.nio.channels.ClosedChannelException,161
Hadoop,336985,"Recovering task task_1445087491445_0006_m_000004 from prior app attempt, status was SUCCEEDED","Recovering task <*> from prior app attempt, status was SUCCEEDED",162
Hadoop,337294,Waiting for application to be successfully unregistered.,Waiting for application to be successfully unregistered.,163
Hadoop,344677,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),Added global filter 'safety' <*>,164
Hadoop,344682,Jetty bound to port 55214,Jetty bound to port <*>,165
Hadoop,346512,attempt_1445087491445_0008_r_000000_1000 Thread started: EventFetcher for fetching Map Completion Events,<*> Thread started: EventFetcher for fetching Map Completion Events,166
Hadoop,347311,"Merging 10 files, 601334942 bytes from disk","Merging <*> files, <*> bytes from disk",167
Hadoop,349769,Result of canCommit for attempt_1445144423722_0022_r_000000_0:true,Result of canCommit for <*>,168
Hadoop,349782,Calling handler for JobFinishedEvent,Calling handler for JobFinishedEvent,169
Hadoop,356942,Not uberizing job_1445062781478_0013 because: not enabled; too many maps; too much input;,Not uberizing <*> because: not enabled; too many maps; too much input;,170
Hadoop,357951,Previous history file is at hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445062781478_0013/job_1445062781478_0013_1.jhist,Previous history file is at <*>,171
Hadoop,359354,Commit-pending state update from attempt_1445062781478_0013_r_000000_1000,Commit-pending state update from <*>,172
Hadoop,359369,job_1445062781478_0013Job Transitioned from RUNNING to COMMITTING,<*> Transitioned from RUNNING to COMMITTING,173
Hadoop,359399,Setting job diagnostics to,Setting job diagnostics to,174
Hadoop,359403,Deleting staging directory hdfs://msra-sa-41:9000 /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445062781478_0013,Deleting staging directory <*>,175
